sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:17.042875+00:00;P2;59.40
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:17.042875+00:00;ratioP2;0.11
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:17.042875+00:00;durP2;33941
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:17.042875+00:00;P1;19156.29
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:17.042875+00:00;ratioP1;20.85
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:17.042875+00:00;durP1;6254207
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:33.018062+00:00;P2;180.82
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:33.018062+00:00;ratioP2;0.35
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:33.018062+00:00;durP2;104199
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:33.018062+00:00;P1;20823.86
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:33.018062+00:00;ratioP1;21.75
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:33.018062+00:00;durP1;6523882
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:48.979003+00:00;P2;130.86
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:48.979003+00:00;ratioP2;0.25
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:48.979003+00:00;durP2;75267
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:48.979003+00:00;P1;18981.25
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:48.979003+00:00;ratioP1;20.75
3;SDS011;6;-1.259;36.799;2017-08-03T04:49:48.979003+00:00;durP1;6224862
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:04.967200+00:00;P2;128.04
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:04.967200+00:00;ratioP2;0.25
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:04.967200+00:00;durP2;73632
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:04.967200+00:00;P1;19375.98
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:04.967200+00:00;ratioP1;20.97
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:04.967200+00:00;durP1;6290747
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:20.949514+00:00;P2;22.18
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:20.949514+00:00;ratioP2;0.04
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:20.949514+00:00;durP2;12445
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:20.949514+00:00;P1;14477.17
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:20.949514+00:00;ratioP1;17.95
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:20.949514+00:00;durP1;5386042
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:36.980125+00:00;P2;32.60
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:36.980125+00:00;ratioP2;0.06
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:36.980125+00:00;durP2;18459
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:36.980125+00:00;P1;19726.51
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:36.980125+00:00;ratioP1;21.16
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:36.980125+00:00;durP1;6348391
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:52.956414+00:00;P2;14.93
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:52.956414+00:00;ratioP2;0.03
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:52.956414+00:00;durP2;8260
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:52.956414+00:00;P1;13366.66
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:52.956414+00:00;ratioP1;17.16
3;SDS011;6;-1.259;36.799;2017-08-03T04:50:52.956414+00:00;durP1;5148765
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:08.829122+00:00;P2;0.62
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:08.829122+00:00;ratioP2;0.00
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:08.829122+00:00;durP2;0
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:08.829122+00:00;P1;12397.73
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:08.829122+00:00;ratioP1;16.43
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:08.829122+00:00;durP1;4929137
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:24.808212+00:00;P2;55.69
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:24.808212+00:00;ratioP2;0.11
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:24.808212+00:00;durP2;31794
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:24.808212+00:00;P1;18079.19
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:24.808212+00:00;ratioP1;20.23
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:24.808212+00:00;durP1;6070228
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:40.683661+00:00;P2;74.11
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:40.683661+00:00;ratioP2;0.14
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:40.683661+00:00;durP2;42438
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:40.683661+00:00;P1;14359.79
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:40.683661+00:00;ratioP1;17.87
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:40.683661+00:00;durP1;5361634
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:56.761445+00:00;P2;94.99
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:56.761445+00:00;ratioP2;0.18
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:56.761445+00:00;durP2;54515
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:56.761445+00:00;P1;12769.91
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:56.761445+00:00;ratioP1;16.72
3;SDS011;6;-1.259;36.799;2017-08-03T04:51:56.761445+00:00;durP1;5014991
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:12.624866+00:00;P2;185.56
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:12.624866+00:00;ratioP2;0.36
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:12.624866+00:00;durP2;106944
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:12.624866+00:00;P1;12039.00
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:12.624866+00:00;ratioP1;16.15
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:12.624866+00:00;durP1;4844522
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:28.617943+00:00;P2;190.38
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:28.617943+00:00;ratioP2;0.37
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:28.617943+00:00;durP2;109741
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:28.617943+00:00;P1;17811.49
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:28.617943+00:00;ratioP1;20.08
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:28.617943+00:00;durP1;6023192
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:44.599825+00:00;P2;55.06
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:44.599825+00:00;ratioP2;0.10
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:44.599825+00:00;durP2;31433
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:44.599825+00:00;P1;19440.62
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:44.599825+00:00;ratioP1;21.00
3;SDS011;6;-1.259;36.799;2017-08-03T04:52:44.599825+00:00;durP1;6301437
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:00.459231+00:00;P2;118.49
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:00.459231+00:00;ratioP2;0.23
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:00.459231+00:00;durP2;68109
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:00.459231+00:00;P1;12749.33
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:00.459231+00:00;ratioP1;16.70
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:00.459231+00:00;durP1;5010292
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:16.445975+00:00;P2;25.47
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:16.445975+00:00;ratioP2;0.05
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:16.445975+00:00;durP2;14342
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:16.445975+00:00;P1;11656.22
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:16.445975+00:00;ratioP1;15.84
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:16.445975+00:00;durP1;4752114
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:32.394157+00:00;P2;224.10
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:32.394157+00:00;ratioP2;0.43
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:32.394157+00:00;durP2;129288
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:32.394157+00:00;P1;14697.39
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:32.394157+00:00;ratioP1;18.10
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:32.394157+00:00;durP1;5431429
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:48.421434+00:00;P2;23.17
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:48.421434+00:00;ratioP2;0.04
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:48.421434+00:00;durP2;13015
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:48.421434+00:00;P1;15074.71
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:48.421434+00:00;ratioP1;18.36
3;SDS011;6;-1.259;36.799;2017-08-03T04:53:48.421434+00:00;durP1;5507994
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:04.576337+00:00;P2;25.68
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:04.576337+00:00;ratioP2;0.05
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:04.576337+00:00;durP2;14465
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:04.576337+00:00;P1;19900.70
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:04.576337+00:00;ratioP1;21.26
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:04.576337+00:00;durP1;6376743
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:20.520298+00:00;P2;136.55
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:20.520298+00:00;ratioP2;0.26
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:20.520298+00:00;durP2;78558
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:20.520298+00:00;P1;14108.47
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:20.520298+00:00;ratioP1;17.70
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:20.520298+00:00;durP1;5308857
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:36.501518+00:00;P2;20.57
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:36.501518+00:00;ratioP2;0.04
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:36.501518+00:00;durP2;11513
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:36.501518+00:00;P1;18880.77
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:36.501518+00:00;ratioP1;20.69
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:36.501518+00:00;durP1;6207922
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:52.372519+00:00;P2;224.03
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:52.372519+00:00;ratioP2;0.43
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:52.372519+00:00;durP2;129244
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:52.372519+00:00;P1;18204.91
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:52.372519+00:00;ratioP1;20.31
3;SDS011;6;-1.259;36.799;2017-08-03T04:54:52.372519+00:00;durP1;6092132
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:08.243437+00:00;P2;193.81
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:08.243437+00:00;ratioP2;0.37
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:08.243437+00:00;durP2;111727
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:08.243437+00:00;P1;18262.85
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:08.243437+00:00;ratioP1;20.34
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:08.243437+00:00;durP1;6102187
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:24.155818+00:00;P2;223.99
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:24.155818+00:00;ratioP2;0.43
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:24.155818+00:00;durP2;129225
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:24.155818+00:00;P1;17248.87
3;SDS011;6;-1.259;36.799;2017-08-03T04:55:24.155818+00:00;ratioP1;19.74
