timestamp,temperature 
"2018-08-05",16.0603
"2018-08-06",16.4149
"2018-08-07",17.0029
"2018-08-08",16.9855
"2018-08-09",17.337
"2018-08-10",17.3204
"2018-08-11",16.187
"2018-08-12",16.0607
"2018-08-13",15.7904
"2018-08-14",16.2259
"2018-08-15",15.6282
"2018-08-16",16.1268
"2018-08-17",16.0044
"2018-08-18",15.6157
"2018-08-19",16.0528
"2018-08-20",16.0318
"2018-08-21",16.2882
"2018-08-22",17.4435
"2018-08-23",16.6816
"2018-08-24",17.119
"2018-08-25",17.0389
"2018-08-26",17.2518
"2018-08-27",16.8731
"2018-08-28",16.731
"2018-08-29",16.2062
"2018-08-30",16.4269
"2018-08-31",16.1765
"2018-09-01",16.1701
"2018-09-02",16.5773
"2018-09-03",16.6183
"2018-09-04",16.6762
"2018-09-05",17.1345
"2018-09-06",16.7939
"2018-09-07",17.1302
"2018-09-08",17.5075
"2018-09-09",18.0356
"2018-09-10",18.8254
"2018-09-11",18.2338
"2018-09-12",17.9265
"2018-09-13",18.137
"2018-09-14",18.6245
"2018-09-15",18.7496
"2018-09-16",18.6387
"2018-09-17",19.0668
"2018-09-18",18.749
"2018-09-19",18.3774
"2018-09-20",18.7817
"2018-09-21",18.6937
"2018-09-22",18.2951
"2018-09-23",18.3139
"2018-09-24",17.9599
"2018-09-25",18.3491
"2018-09-26",19.4679
"2018-09-27",18.4696
"2018-09-28",18.4423
"2018-09-29",19.3511
"2018-09-30",17.7344
"2018-10-01",18.0716
"2018-10-02",17.5534
"2018-10-03",18.8903
"2018-10-04",18.5694
"2018-10-05",18.6897
"2018-10-06",19.3312
"2018-10-07",19.7268
"2018-10-08",19.3729
"2018-10-09",18.5434
"2018-10-10",18.6449
"2018-10-11",19.2098
"2018-10-12",19.6423
"2018-10-13",20.3087
"2018-10-14",20.2606
"2018-10-15",20.5123
"2018-10-16",20.397
"2018-10-17",19.8941
"2018-10-18",18.6905
"2018-10-19",18.7486
"2018-10-20",19.1701
"2018-10-21",19.491
"2018-10-22",18.6492
"2018-10-23",16.7375
"2018-10-24",17.6519
"2018-10-25",16.6063
"2018-10-26",17.3214
"2018-10-27",17.3701
"2018-10-28",17.9409
"2018-10-29",18.3783
"2018-10-30",18.7473
"2018-10-31",18.4207
"2018-11-01",18.2185
"2018-11-02",18.4533
"2018-11-03",18.0895
"2018-11-04",19.2532
"2018-11-05",18.8349
"2018-11-06",18.9859
"2018-11-07",19.5339
"2018-11-08",19.8325
"2018-11-09",19.2222
"2018-11-10",18.7929
"2018-11-11",18.9501
"2018-11-12",18.9364
"2018-11-13",18.9115
"2018-11-14",19.0187
"2018-11-15",19.2255
"2018-11-16",19.8924
"2018-11-17",18.8633
"2018-11-18",19.0773
"2018-11-19",18.4184
"2018-11-20",17.1697
"2018-11-21",17.4857
"2018-11-22",17.8618
"2018-11-23",18.0773
"2018-11-24",18.4948
"2018-11-25",17.6614
"2018-11-26",17.8765
"2018-11-27",18.605
"2018-11-28",18.0884
"2018-11-29",17.4759
"2018-11-30",17.9927
"2018-12-01",17.2804
"2018-12-02",17.6414
"2018-12-03",18.4028
"2018-12-04",18.3558
"2018-12-05",18.3566
"2018-12-06",18.7677
"2018-12-07",18.9395
"2018-12-08",18.4536
"2018-12-09",18.7949
"2018-12-10",17.8124
"2018-12-11",16.6406
"2018-12-12",18.3051
"2018-12-13",18.0839
"2018-12-14",17.9086
"2018-12-15",17.6642
"2018-12-16",18.5441
"2018-12-17",18.552
"2018-12-18",19.1351
"2018-12-19",18.5924
"2018-12-20",18.1224
"2018-12-21",18.7894
"2018-12-22",18.7984
"2018-12-23",18.8159
"2018-12-24",18.5793
"2018-12-25",18.2451
"2018-12-26",18.3647
"2018-12-27",18.141
"2018-12-28",18.8224
"2018-12-29",18.4351
"2018-12-30",18.8489
"2018-12-31",18.1293
"2019-01-01",18.6567
"2019-01-02",19.8526
"2019-01-03",19.3502
"2019-01-04",17.7598
"2019-01-05",17.7759
"2019-01-06",19.0634
"2019-01-07",19.6576
"2019-01-08",19.088
"2019-01-09",20.4571
"2019-01-10",19.9461
"2019-01-11",19.9396
"2019-01-12",19.3256
"2019-01-13",19.5128
"2019-01-14",19.4651
"2019-01-15",18.8298
"2019-01-16",18.6783
"2019-01-17",19.7094
"2019-01-18",19.881
"2019-01-19",19.842
"2019-01-20",20.787
"2019-01-21",20.2907
"2019-01-22",19.6911
"2019-01-23",19.832
"2019-01-24",19.9396
"2019-01-25",20.324
"2019-01-26",19.8754
"2019-01-27",20.4726
"2019-01-28",19.8579
"2019-01-29",19.8763
"2019-01-30",20.0883
"2019-01-31",20.7405
"2019-02-01",20.4955
"2019-02-02",21.2333
"2019-02-03",21.5759
"2019-02-04",21.3573
"2019-02-05",20.0088
"2019-02-06",19.9926
"2019-02-07",20.3582
"2019-02-08",20.7358
"2019-02-09",20.3134
"2019-02-10",19.8512
"2019-02-11",20.2638
"2019-02-12",20.1182
"2019-02-13",19.8988
"2019-02-14",19.7248
"2019-02-15",20.4834
"2019-02-16",20.2211
"2019-02-17",20.5873
"2019-02-18",22.1582
"2019-02-19",22.0075
"2019-02-20",21.0579
"2019-02-21",19.407
"2019-02-22",19.8903
"2019-02-23",20.2682
"2019-02-24",19.8726
"2019-02-25",21.0294
"2019-02-26",21.5404
"2019-02-27",21.0099
"2019-02-28",21.7946
"2019-03-01",22.8611
"2019-03-02",23.1346
"2019-03-03",22.7528
"2019-03-04",22.1076
"2019-03-05",21.3002
"2019-03-06",22.4118
"2019-03-07",22.4703
"2019-03-08",21.8983
"2019-03-09",21.6859
"2019-03-10",21.3123
"2019-03-11",21.3424
"2019-03-12",22.009
"2019-03-13",21.6832
"2019-03-14",20.8519
"2019-03-15",20.6238
"2019-03-16",21.1601
"2019-03-17",21.762
"2019-03-18",22.0743
"2019-03-19",22.031
"2019-03-20",21.8887
"2019-03-21",22.0525
"2019-03-22",22.321
"2019-03-23",21.7486
"2019-03-24",21.5268
"2019-03-25",22.2607
"2019-03-26",22.7406
"2019-03-27",21.2058
"2019-03-28",20.4855
"2019-03-29",21.5007
"2019-03-30",21.543
"2019-03-31",22.1013
"2019-04-01",20.8271
"2019-04-02",21.2945
"2019-04-03",21.3794
"2019-04-04",20.2006
"2019-04-05",20.0279
"2019-04-06",20.6862
"2019-04-07",20.7101
"2019-04-08",21.7764
"2019-04-09",21.1749
"2019-04-10",21.6227
"2019-04-11",20.4174
"2019-04-12",20.5895
"2019-04-13",20.6239
"2019-04-14",20.5936
"2019-04-15",21.0164
"2019-04-16",21.6721
"2019-04-17",21.7698
"2019-04-18",21.8276
"2019-04-19",21.7525
"2019-04-20",21.9635
"2019-04-21",22.0352
"2019-04-22",21.6822
"2019-04-23",20.6756
"2019-04-24",20.8281
"2019-04-25",19.611
"2019-04-26",19.3009
"2019-04-27",18.9615
"2019-04-28",20.2059
"2019-04-29",19.416
"2019-04-30",19.0433
"2019-05-01",19.7813
"2019-05-02",20.2663
"2019-05-03",19.987
"2019-05-04",19.5892
"2019-05-05",18.7753
"2019-05-06",19.508
"2019-05-07",19.4982
"2019-05-08",18.7432
"2019-05-09",19.1439
"2019-05-10",18.7889
"2019-05-11",18.2698
"2019-05-12",18.3282
"2019-05-13",18.0904
"2019-05-14",18.5435
"2019-05-15",18.9687
"2019-05-16",19.1801
"2019-05-17",18.6959
"2019-05-18",16.5639
"2019-05-19",18.0192
"2019-05-20",18.1664
"2019-05-21",18.6002
"2019-05-22",18.4129
"2019-05-23",17.9791
"2019-05-24",17.387
"2019-05-25",16.9531
"2019-05-26",17.0637
"2019-05-27",17.9756
"2019-05-28",17.9339
"2019-05-29",17.4
"2019-05-30",18.1555
"2019-05-31",18.3459
"2019-06-01",18.7139
"2019-06-02",18.4774
"2019-06-03",17.8958
"2019-06-04",17.4559
"2019-06-05",16.9918
"2019-06-06",17.6315
"2019-06-07",17.9386
"2019-06-08",18.2269
"2019-06-09",17.1334
"2019-06-10",17.108
"2019-06-11",17.2653
"2019-06-12",17.7244
"2019-06-13",18.0801
"2019-06-14",17.7042
"2019-06-15",17.5985
"2019-06-16",18.174
"2019-06-17",17.7907
"2019-06-18",17.4259
"2019-06-19",18.059
"2019-06-20",18.1548
"2019-06-21",16.9093
"2019-06-22",18.0783
"2019-06-23",17.384
"2019-06-24",17.9013
"2019-06-25",17.4286
"2019-06-26",17.6525
"2019-06-27",18.0988
"2019-06-28",18.1428
"2019-06-29",17.9295
"2019-06-30",17.728
"2019-07-01",18.4324
"2019-07-02",18.5411
"2019-07-03",17.7815
"2019-07-04",17.9228
"2019-07-05",17.9436
"2019-07-06",17.3984
"2019-07-07",17.9157
"2019-07-08",17.4185
"2019-07-09",17.9266
"2019-07-10",18.4083
"2019-07-11",18.2419
"2019-07-12",18.5882
"2019-07-13",17.952
"2019-07-14",17.9522
"2019-07-15",16.9052
"2019-07-16",16.9404
"2019-07-17",16.4672
"2019-07-18",17.0949
"2019-07-19",16.4539
"2019-07-20",16.9022
"2019-07-21",18.139
"2019-07-22",17.6035
"2019-07-23",17.911
"2019-07-24",18.8781
"2019-07-25",19.0846
"2019-07-26",18.7128
"2019-07-27",17.7952
"2019-07-28",17.4919
"2019-07-29",18.0082
"2019-07-30",16.8577
"2019-07-31",17.7904
"2019-08-01",18.8756
"2019-08-02",18.0899
"2019-08-03",17.9505
"2019-08-04",18.2388
"2019-08-05",18.5283
"2019-08-06",19.2093
"2019-08-07",17.9734
"2019-08-08",18.0697
"2019-08-09",17.9425
"2019-08-10",17.296
"2019-08-11",17.1638
"2019-08-12",16.9656
"2019-08-13",18.3154
"2019-08-14",17.2671
"2019-08-15",16.4939
"2019-08-16",16.3391
"2019-08-17",17.2783
"2019-08-18",18.2221
"2019-08-19",17.0252
"2019-08-20",17.2903
"2019-08-21",17.0186
"2019-08-22",17.4709
"2019-08-23",18.4887
"2019-08-24",17.4001
"2019-08-25",17.9363
"2019-08-26",18.4139
"2019-08-27",18.6627
"2019-08-28",17.9095
"2019-08-29",18.5321
"2019-08-30",18.1819
"2019-08-31",18.2026
"2019-09-01",18.4118
"2019-09-02",18.1723
"2019-09-03",18.4788
"2019-09-04",17.77
"2019-09-05",17.1117
"2019-09-06",17.7465
"2019-09-07",16.6821
"2019-09-08",16.054
"2019-09-09",17.1927
"2019-09-10",16.8742
"2019-09-11",18.016
"2019-09-12",18.4791
"2019-09-13",18.9799
"2019-09-14",19.4001
"2019-09-15",19.3284
"2019-09-16",18.8391
"2019-09-17",18.8698
"2019-09-18",18.8097
"2019-09-19",18.6232
"2019-09-20",18.5693
"2019-09-21",18.9512
"2019-09-22",18.8852
"2019-09-23",19.2096
"2019-09-24",18.9901
"2019-09-25",19.5967
"2019-09-26",17.5884
"2019-09-27",17.5557
"2019-09-28",19.6864
"2019-09-29",19.7629
"2019-09-30",20.4448
"2019-10-01",19.2696
"2019-10-02",18.2079
"2019-10-03",18.7226
"2019-10-04",17.621
"2019-10-05",17.5776
"2019-10-06",17.0392
"2019-10-07",17.659
"2019-10-08",18.4762
"2019-10-09",18.1017
"2019-10-10",17.7398
"2019-10-11",17.3951
"2019-10-12",17.5931
"2019-10-13",17.3145
"2019-10-14",17.7875
"2019-10-15",19.1562
"2019-10-16",19.3914
"2019-10-17",17.1479
"2019-10-18",17.1141
"2019-10-19",17.0712
"2019-10-20",18.0322
"2019-10-21",18.5766
"2019-10-22",18.9977
"2019-10-23",18.3654
"2019-10-24",18.2546
"2019-10-25",17.6758
"2019-10-26",17.0152
"2019-10-27",18.4008
"2019-10-28",18.1811
"2019-10-29",18.3474
"2019-10-30",17.579
"2019-10-31",17.4734
"2019-11-01",18.2353
"2019-11-02",18.2346
