timestamp,wind speed
"2018-08-05",2.0197
"2018-08-06",1.8095
"2018-08-07",1.3799
"2018-08-08",0.9237
"2018-08-09",1.6204
"2018-08-10",1.4836
"2018-08-11",2.407
"2018-08-12",2.2864
"2018-08-13",1.9904
"2018-08-14",1.5097
"2018-08-15",1.5706
"2018-08-16",1.6076
"2018-08-17",1.4811
"2018-08-18",1.5874
"2018-08-19",1.4711
"2018-08-20",1.6858
"2018-08-21",1.6095
"2018-08-22",1.3709
"2018-08-23",1.7296
"2018-08-24",1.3367
"2018-08-25",1.7352
"2018-08-26",1.1899
"2018-08-27",0.4666
"2018-08-28",1.1682
"2018-08-29",1.5146
"2018-08-30",1.8641
"2018-08-31",1.8257
"2018-09-01",1.649
"2018-09-02",1.6233
"2018-09-03",1.7877
"2018-09-04",1.9047
"2018-09-05",2.3534
"2018-09-06",2.3866
"2018-09-07",2.3469
"2018-09-08",2.1434
"2018-09-09",1.7418
"2018-09-10",2.0174
"2018-09-11",2.6695
"2018-09-12",2.3091
"2018-09-13",2.1048
"2018-09-14",1.9942
"2018-09-15",2.0636
"2018-09-16",1.9587
"2018-09-17",1.6234
"2018-09-18",2.029
"2018-09-19",2.0516
"2018-09-20",2.0322
"2018-09-21",2.0266
"2018-09-22",2.3079
"2018-09-23",2.518
"2018-09-24",2.6618
"2018-09-25",2.2551
"2018-09-26",2.2324
"2018-09-27",2.3135
"2018-09-28",2.6142
"2018-09-29",2.1197
"2018-09-30",2.4588
"2018-10-01",2.2808
"2018-10-02",2.3126
"2018-10-03",2.6296
"2018-10-04",2.4482
"2018-10-05",2.3051
"2018-10-06",2.2621
"2018-10-07",1.8061
"2018-10-08",2.087
"2018-10-09",2.4504
"2018-10-10",2.7124
"2018-10-11",2.4899
"2018-10-12",2.116
"2018-10-13",2.0406
"2018-10-14",2.3093
"2018-10-15",2.0822
"2018-10-16",2.3357
"2018-10-17",2.6054
"2018-10-18",2.6072
"2018-10-19",2.6546
"2018-10-20",2.975
"2018-10-21",3.2915
"2018-10-22",3.3573
"2018-10-23",2.4327
"2018-10-24",1.7873
"2018-10-25",1.1463
"2018-10-26",2.1967
"2018-10-27",2.0436
"2018-10-28",2.1033
"2018-10-29",2.3924
"2018-10-30",2.6062
"2018-10-31",2.8917
"2018-11-01",2.9005
"2018-11-02",2.7687
"2018-11-03",2.5991
"2018-11-04",2.3823
"2018-11-05",2.3864
"2018-11-06",2.3853
"2018-11-07",2.3595
"2018-11-08",2.1818
"2018-11-09",2.0009
"2018-11-10",2.1918
"2018-11-11",2.454
"2018-11-12",2.8068
"2018-11-13",2.7985
"2018-11-14",2.6256
"2018-11-15",2.4087
"2018-11-16",2.4122
"2018-11-17",2.147
"2018-11-18",2.3509
"2018-11-19",2.4887
"2018-11-20",1.6603
"2018-11-21",2.5609
"2018-11-22",2.4971
"2018-11-23",2.7833
"2018-11-24",3.3984
"2018-11-25",2.9093
"2018-11-26",2.3303
"2018-11-27",2.6223
"2018-11-28",2.7998
"2018-11-29",3.0386
"2018-11-30",3.9714
"2018-12-01",2.9817
"2018-12-02",1.9963
"2018-12-03",2.4718
"2018-12-04",2.4924
"2018-12-05",2.5702
"2018-12-06",2.1438
"2018-12-07",2.5028
"2018-12-08",2.361
"2018-12-09",2.033
"2018-12-10",0.3466
"2018-12-11",1.0411
"2018-12-12",1.3822
"2018-12-13",2.0703
"2018-12-14",2.344
"2018-12-15",2.2785
"2018-12-16",2.0053
"2018-12-17",2.273
