timestamp,P1,P2,humidity,precipitation,temperature ,wind speed
2018-03-17,17.77,10.803333333333333,75.65,21.028,18.6958,0.2099
2018-03-18,19.3,12.99,75.0,8.152,19.2265,1.3402
2018-03-19,30.9,19.9575,78.0,9.597,17.8409,1.5377
2018-03-20,24.938333333333333,13.7125,76.44999999999999,0.0,17.3358,2.2307
2018-03-21,18.93,8.94875,76.55833333333334,0.025,17.6898,2.9646
2018-03-22,19.3,7.6,69.3,0.0,17.9674,2.3661
2018-03-23,15.035,5.57,66.4,0.0,19.1131,2.015
2018-03-24,16.240000000000002,6.53,64.525,0.0,19.4983,1.9868
2018-03-25,13.97,5.786,64.1,0.677,18.505,1.9534
2018-03-26,12.1,4.17,66.3,0.0,17.6097,1.4519
2018-03-27,14.615,5.595,73.6,0.0,17.7177,2.5157
2018-03-28,12.63,4.55,67.9,0.0,17.6649,2.9248
2018-03-29,12.4,5.153333333333333,71.0,0.0,17.8396,2.5548
2018-03-30,24.080000000000002,13.515,68.94999999999999,0.0,17.5035,2.1218
2018-03-31,19.607499999999998,10.1825,68.0,0.0,18.1318,2.3138
2018-04-01,10.2,4.9,62.16666666666667,4.124,18.4625,2.0502
2018-04-02,10.81,5.935,70.4,0.0,18.2743,2.4692
2018-04-03,9.61,4.45,71.0,0.0,18.1093,2.787
2018-04-04,11.2,4.435,68.8,0.0,18.0097,2.0789
2018-04-05,14.29875,8.287500000000001,73.56666666666666,5.996,18.2438,1.3156
2018-04-06,15.06,8.405,74.89999999999999,0.0,18.0502,1.4372
2018-04-07,13.19,6.6175000000000015,69.66666666666667,1.915,18.7259,1.9914
2018-04-08,9.993333333333332,4.873333333333333,68.3,9.176,17.8306,1.3089
2018-04-09,10.570000000000002,5.6033333333333335,72.0,5.029,18.0156,0.8797
2018-04-10,12.0775,6.65,66.65,1.035,18.7942,1.0986
2018-04-11,14.33,9.466666666666667,70.4,10.102,18.3362,1.0442
2018-04-12,11.8,7.164999999999999,70.3,3.31,17.9762,0.9653
2018-04-13,13.16,8.274999999999999,70.1,2.456,18.4271,1.0182
2018-04-14,11.01,6.65,75.5,43.618,18.1887,0.2365
2018-04-15,4.015000000000001,1.53,68.6,29.247,18.0267,2.1079
2018-04-16,10.3,4.532500000000001,69.3,12.938,17.6937,2.034
2018-04-17,10.201666666666668,5.205,71.69999999999999,18.281,17.2443,1.683
2018-04-18,20.886666666666667,13.03,74.65,14.977,17.8163,0.4217
2018-04-19,17.878333333333334,12.5,73.7,10.172,18.0782,0.1975
2018-04-20,18.2325,11.085,76.46666666666667,20.763,18.1226,0.3461
2018-04-21,12.715,9.4,76.16666666666666,36.409,17.7438,1.0845
2018-04-22,13.2375,10.92,81.37083333333334,33.5,17.3655,0.949
2018-04-23,12.57,7.615,77.4,31.14,18.3645,0.5197
2018-04-24,11.17,8.12,80.66666666666667,22.382,17.1798,0.6739
2018-04-25,16.2,10.953333333333333,78.06666666666666,0.0,17.7335,1.1183
2018-04-26,16.7,10.186666666666667,78.5,0.0,18.2464,1.3433
2018-04-27,12.7075,6.8225,83.0,8.193,17.687,0.6219
2018-04-28,14.2075,9.0,84.7,0.0,17.9016,1.6684
2018-04-29,8.076666666666668,3.2,78.0,0.0,17.8194,1.594
2018-04-30,6.3675,2.9575,77.44999999999999,0.0,17.6001,1.1911
2018-05-01,3.63,1.365,73.4,0.0,16.9855,1.2557
2018-05-02,5.665,2.1,73.8,20.232,17.104,0.1721
2018-05-03,6.4399999999999995,3.0,73.2,48.082,18.0693,0.9731
2018-05-04,7.8225,2.6,74.55,0.0,18.0079,1.1163
2018-05-05,4.8341666666666665,1.6675,74.4,0.0,17.4079,1.4472
2018-05-06,4.93,1.7574999999999998,72.2,0.0,17.9594,1.5564
2018-05-07,6.1,3.2649999999999997,79.2,0.0,16.6738,0.9307
2018-05-08,12.2,8.615,83.0,0.0,17.7395,1.2723
2018-05-09,17.868333333333332,14.16,81.35,0.0,17.6899,1.8403
2018-05-10,16.43,12.83,81.0,0.0,17.5301,1.4877
2018-05-11,14.733333333333334,9.976666666666667,84.2,0.0,17.6602,1.4554
2018-05-12,14.908333333333333,10.178333333333335,80.55,0.049,18.9957,1.0401
2018-05-13,13.4,10.030000000000001,78.875,42.701,18.6834,0.5214
2018-05-14,16.751666666666665,12.668333333333333,75.94999999999999,0.967,18.5799,0.7503
2018-05-15,16.6425,11.631666666666668,65.9,39.323,18.2037,1.0737
2018-05-16,15.643333333333334,10.413333333333332,73.88,109.635,17.6879,0.531
2018-05-17,11.993333333333334,8.356666666666666,79.26111111111112,0.169,18.121,0.4068
2018-05-18,23.17,13.52,67.97142857142858,0.0,18.7693,1.2588
2018-05-19,17.468333333333334,13.746666666666666,65.47,0.0,17.7878,0.5557
2018-05-20,16.256666666666668,13.603333333333333,77.0,0.0,17.9625,0.6508
2018-05-21,16.43,11.4775,79.99000000000001,0.0,17.0183,0.8548
2018-05-22,17.65,11.186666666666666,86.28,0.0,17.0792,0.7972
